type,r,k_bias_hi,k_bias_lo,rmse,n,feats,phase,timestamp,status
ooy,0.86487,-0.147,-0.258,1.752,537,V6,0,2026-05-04T23:28:50Z,archived
ytd_2026,xfp_v6,0.34738,-0.935,2.755,91,avg gs/pitcher=6.4,0,2026-05-04T23:28:50Z,archived
cv,0.86328,0.03822,537.0,V6_baseline,1,2026-05-04T23:28:53Z,,,archived
cv,0.86285,0.03849,537.0,V6+z_contact_pct,-0.00043,z_contact_pct,1,2026-05-04T23:28:55Z,archived
cv,0.86353,0.03785,537.0,V6+swing_pct,0.00025,swing_pct,1,2026-05-04T23:28:58Z,archived
cv,0.86303,0.03815,537.0,V6+contact_pct,-0.00025,contact_pct,1,2026-05-04T23:29:00Z,archived
cv,0.86281,0.03905,537.0,V6+avg_pfxx,-0.00047,avg_pfxx,1,2026-05-04T23:29:02Z,archived
cv,0.86281,0.03749,537.0,V6+gb_pct,-0.00047,gb_pct,1,2026-05-04T23:29:05Z,archived
cv,0.86418,0.04068,537.0,V6+hard_hit_pct,0.0009,hard_hit_pct,1,2026-05-04T23:29:07Z,archived
cv,0.86691,0.0384,537.0,V6+barrel_pct,0.00363,barrel_pct,1,2026-05-04T23:29:10Z,archived
cv,0.86231,0.03884,537.0,V6+bip_pct,-0.00097,bip_pct,1,2026-05-04T23:29:13Z,archived
cv,0.86327,0.03838,537.0,V6+xwoba_nc_pa,-1e-05,xwoba_nc_pa,1,2026-05-04T23:29:15Z,archived
cv,0.86402,0.03857,537.0,V6+xwoba_x_cplus,0.00074,xwoba_x_cplus,1,2026-05-04T23:29:18Z,archived
cv,0.8624,0.03968,537.0,V6+xwoba_per_pa,-0.00088,xwoba_per_pa,1,2026-05-04T23:29:21Z,archived
cv,0.86373,0.03906,537.0,V6+swstr_sq,0.00045,swstr_sq,1,2026-05-04T23:29:23Z,archived
cv,0.86326,0.03835,537.0,V6+cplus_sq,-2e-05,cplus_sq,1,2026-05-04T23:29:26Z,archived
cv,0.86325,0.03836,537.0,V6+velo_x_swstr,-3e-05,velo_x_swstr,1,2026-05-04T23:29:28Z,archived
cv,0.86318,0.03829,537.0,V6+velo_x_cplus,-0.0001,velo_x_cplus,1,2026-05-04T23:29:31Z,archived
cv,0.86324,0.03888,537.0,V6+o_swing_x_swstr,-4e-05,o_swing_x_swstr,1,2026-05-04T23:29:33Z,archived
cv,0.86315,0.03783,537.0,V6+zone_x_oswing,-0.00013,zone_x_oswing,1,2026-05-04T23:29:36Z,archived
cv,0.86338,0.03816,537.0,V6+abs_pfxz_x_velo,0.0001,abs_pfxz_x_velo,1,2026-05-04T23:29:39Z,archived
cv,0.86316,0.03961,537.0,V6+log_swstr,-0.00012,log_swstr,1,2026-05-04T23:29:41Z,archived
cv,0.86316,0.03863,537.0,V6+log_cplus,-0.00012,log_cplus,1,2026-05-04T23:29:44Z,archived
cv,0.86418,0.04068,537.0,V6+hard_hit_neg,0.0009,hard_hit_neg,1,2026-05-04T23:29:47Z,archived
